ï»¿업체명,주소,전화번호,업종,지역,홈페이지,이메일,플레이스URL,톡톡활성
연세올데이치과의원 대전,"대전광역시 유성구 봉명동 1047-3 2, 3, 4층",,치과,대전,https://blog.naver.com/dfgujhctfgjf,,https://m.place.naver.com/place/1630072486,Y
바른이치 치과의원 대전,대전광역시 서구 둔산동 1501 3층 302호,,치과,대전,https://www.바른이치.com/,,https://m.place.naver.com/place/1012905059,Y
일리노이치과의원,대전광역시 서구 둔산동 1071 소레드빌딩 8층,042-471-2824,치과,대전,https://booking.naver.com/booking/13/bizes/1412756,,https://m.place.naver.com/place/13054609,Y
화이트듀치과의원 울산,울산광역시 남구 삼산동 1526-6 5층 화이트듀치과의원,,치과,울산,http://whitedew.kr/bbs/dental.php,,https://m.place.naver.com/place/13098498,Y
디지털365치과의원 울산,울산광역시 남구 삼산동 1550-15 1층,,치과,울산,https://digital365.imweb.me,,https://m.place.naver.com/place/1199154896,Y
미소원치과의원 울산,"울산광역시 남구 삼산동 1612-7 2층, 3층",1899-7518,치과,울산,https://www.misowon.co.kr/main,,https://m.place.naver.com/place/12973890,Y
서울탑치과의원 울산,"울산광역시 남구 달동 1365-13 4, 5층",,치과,울산,https://www.seoul-top.com/,,,N
광교365리움치과병원 수원,"경기도 수원시 영통구 원천동 605 더샵 광교레이크시티 B1층 B112호, 1층 138~14 5호, 2층 205~207호",1533-1428,치과,수원,http://365reumhospital.com/,,https://m.place.naver.com/place/1293769332,Y
치과다운 치과의원 수원,경기도 수원시 팔달구 매교동 158-7 마이온프라자 5층,,치과,수원,https://truedental.co.kr/,,https://m.place.naver.com/place/1317780530,Y
퍼스티지치과의원,"경기도 수원시 팔달구 인계동 1119-11 BLS프라자 3, 4층",,치과,수원,http://firstage.co.kr/,,https://m.place.naver.com/place/36960750,Y
웃는얼굴치과의원 수원점,경기도 수원시 팔달구 인계동 1038-2 5층 503호,,치과,수원,http://smileface.dental,,https://m.place.naver.com/place/1101904443,Y
맑은미소치과의원 수원,경기도 수원시 권선구 권선동 1193-2 4층 맑은미소치과의원 수원,031-222-7522,치과,수원,https://blog.naver.com/mmsuwon,,https://m.place.naver.com/place/37220521,Y
연세위드치과의원,"경기도 성남시 분당구 서현동 247-6 4, 5층",,치과,성남,https://youtube.com/channel/UCqURl5U2ParAVsWkhLNwEkA?si=RVfq87Fhm0TvI05B,,https://m.place.naver.com/place/1221729494,Y
서울플러스치과의원 성남,경기도 성남시 수정구 신흥동 4228,,치과,성남,http://www.seoulplusdental.co.kr/,,https://m.place.naver.com/place/13538932,Y
서울리더스치과의원 미금,경기도 성남시 분당구 금곡동 157 금산젬월드 4층,,치과,성남,https://seoulldc.com/,,https://m.place.naver.com/place/1562402492,Y
더서울치과의원 성남,"경기도 성남시 수정구 수진동 4538-2 강원빌딩 2층, 3층",031-757-1525,치과,성남,https://theseoul.org/,,https://m.place.naver.com/place/38256869,Y
연세꿈꾸는아이치과의원 성남산성점,경기도 성남시 수정구 신흥동 6969 산성자이메디컬빌딩 5층,,치과,성남,https://blog.naver.com/ysdreamss131,,https://m.place.naver.com/place/1308133332,?
미라클플란트치과의원 일산,"경기도 고양시 일산동구 마두동 798-6 8층 801호, 802호",031-902-1112,치과,고양,https://miracle-dent.com/,,https://m.place.naver.com/place/1628731644,Y
화이트드림치과의원 일산,경기도 고양시 일산동구 장항동 868 웨스턴돔 B동 302호,,치과,고양,http://wdreamilsan.com/,,https://m.place.naver.com/place/674499256,Y
미소원치과의원 울산,"울산광역시 남구 삼산동 1612-7 2층, 3층",1899-7518,치과,울산,https://www.misowon.co.kr/main,,https://m.place.naver.com/place/12973890,Y
연세바로치과교정과치과의원 일산,경기도 고양시 일산동구 장항동 859-1 진원프라자 4층,,치과,고양,http://ys-baro.com/,,https://m.place.naver.com/place/1818788308,Y
서울탑치과의원 울산,"울산광역시 남구 달동 1365-13 4, 5층",,치과,울산,https://www.seoul-top.com/,,https://m.place.naver.com/place/19877942,Y
굿센치과의원 일산,경기도 고양시 일산동구 중산동 1667-4 일산프라자 5층,031-977-9379,치과,고양,http://www.goodshen79.com,,https://m.place.naver.com/place/1255347735,Y
프라임39플란트치과의원,경기도 고양시 일산서구 대화동 2603 오피스동 408. 409호,031-811-2825,치과,고양,https://prime39plant.imweb.me,,https://m.place.naver.com/place/1227204782,Y
용인스마트치과의원,경기도 용인시 처인구 김량장동 133-62 3층,,치과,용인,https://blog.naver.com/yismartdc_1,,https://m.place.naver.com/place/1737201378,Y
서울감동치과의원,"경기도 용인시 처인구 포곡읍 둔전리 154-1 2층, 3층",031-333-2828,치과,용인,https://blog.naver.com/dentalgamdong,,https://m.place.naver.com/place/1917265497,Y
임플라인치과의원 용인처인구점,경기도 용인시 처인구 김량장동 294-16 메디타워 2층,031-335-2875,치과,용인,https://www.youtube.com/@implineyi,,https://m.place.naver.com/place/13433345,Y
서울닥터유치과의원 용인본점,"경기도 용인시 기흥구 보정동 1263 죽전누리에뜰상가 B동 2층 217호, 218호",,치과,용인,https://blog.naver.com/seouldrudent,,https://m.place.naver.com/place/1407215695,Y
365이강치과의원 청주,충청북도 청주시 상당구 북문로1가 62 3층,,치과,청주,https://booking.naver.com/booking/13/bizes/1185592,,,N
에이라인치과병원,충청북도 청주시 흥덕구 강서동 480,,치과,청주,https://blog.naver.com/ortholee_77,,https://m.place.naver.com/place/11387884,Y
새이치과의원 청주,충청북도 청주시 상당구 용암동 3076 동남메디컬타워 3층,043-292-4242,치과,청주,http://www.saeidental.com/,,https://m.place.naver.com/place/1047332445,Y
유디치과의원 청주점,충청북도 청주시 흥덕구 복대동 2368-1 유디치과빌딩 3층,043-260-8600,치과,청주,http://www.udh.co.kr/,,https://m.place.naver.com/place/13277876,Y
링크치과의원,전북특별자치도 전주시 완산구 삼천동1가 732-8 3층,,치과,전주,http://linkdentalclinic.com,,https://m.place.naver.com/place/1183448321,Y
그랜드치과의원 전주,전북특별자치도 전주시 완산구 중화산동2가 631-4 그랜드치과,,치과,전주,http://grand7528.com/,,https://m.place.naver.com/place/1562191676,Y
보가치과의원 전주,전북특별자치도 전주시 완산구 서신동 970-1 호진빌딩 2층,063-255-7528,치과,전주,https://blog.naver.com/screw13566,,https://m.place.naver.com/place/36177594,Y
전주365치과의원,전북특별자치도 전주시 완산구 평화동1가 736-3 301호,063-714-2804,치과,전주,https://blog.naver.com/smc0221,,https://m.place.naver.com/place/1745271578,Y
아이브치과의원,"전북특별자치도 전주시 덕진구 송천동2가 1313 111, 112호",,치과,전주,http://ivedental.com,,https://m.place.naver.com/place/1219223878,Y
서울니어치과의원 천안,충청남도 천안시 서북구 불당동 1536-2 501호,,치과,천안,https://blog.naver.com/neardent101,,https://m.place.naver.com/place/1627320775,Y
서울베스트치과의원,충청남도 천안시 동남구 신부동 461-6 3층 1호,,치과,천안,http://seoulbest.co.kr/,,https://m.place.naver.com/place/37803963,Y
35스마트플란트치과의원,충청남도 천안시 동남구 신부동 363-12 민현빌딩 4층 스마트플란트치과의원,041-568-2875,치과,천안,https://www.smartplant.co.kr/,,https://m.place.naver.com/place/1445804238,Y
더보스톤치과병원 천안 불당,충청남도 천안시 서북구 불당동 1617 우리타워 3층 더보스톤치과병원,,치과,천안,https://www.youtube.com/@치과보스원닥터,,https://m.place.naver.com/place/672785300,Y
천안더맑은치과의원 천안,충청남도 천안시 동남구 신부동 462-1 2층,,치과,천안,https://cheonan-cleardental.com,,https://m.place.naver.com/place/1313541065,Y
이포유치과의원 안산 본원,경기도 안산시 단원구 선부동 1082 벽산블루밍 상가동 2층 이포유치과의원 안산 본원,031-403-7575,치과,안산,http://www.이포유치과.com,,https://m.place.naver.com/place/1095202665,Y
연세플란트치과의원 안산,경기도 안산시 단원구 고잔동 534-2 지스타프라자 4층,,치과,안산,https://yonseistar.net/,,https://m.place.naver.com/place/1122414607,Y
안산본플란트치과의원,경기도 안산시 상록구 본오동 948-20,,치과,안산,http://ansanbonplant.com/,,https://m.place.naver.com/place/1246241072,Y
맑은플란트치과의원 안산점,경기도 안산시 단원구 고잔동 533-2 제1동 제5층 501호~508호,031-503-2828,치과,안산,https://booking.naver.com/booking/13/bizes/726333?theme=place&lang=ko&area=pll,,https://m.place.naver.com/place/1489161095,Y
안산예치과병원,경기도 안산시 단원구 고잔동 540-16 신세기빌딩 2층 안산예치과 병원,031-480-2833,치과,안산,http://ansan2015.cafe24.com/,,https://m.place.naver.com/place/13217712,Y
노형유디치과의원 제주노형점,"제주특별자치도 제주시 노형동 719-5 타워30 3, 4층",,치과,제주,https://blog.naver.com/miosae0701,,https://m.place.naver.com/place/34565195,Y
코코치과의원,제주특별자치도 제주시 노형동 711-5 1층,,치과,제주,https://blog.naver.com/coco_dental,,https://m.place.naver.com/place/1183569083,Y
머물고싶은치과의원,"제주특별자치도 제주시 노형동 3784-5 3층, 6층",064-805-2270,치과,제주,http://staydentalclinic.com,,https://m.place.naver.com/place/1554240125,Y
제주365치과의원,"제주특별자치도 제주시 노형동 3784-8 3, 4층",064-742-2872,치과,제주,https://www.instagram.com/jeju365dc,,https://m.place.naver.com/place/1849627013,Y
디올레치과의원,제주특별자치도 제주시 이도이동 1011-3 영도갤럭시타운 1층,,치과,제주,http://www.theolle.co.kr,,https://m.place.naver.com/place/1932554844,Y
맥스웰피부과의원 종로점,서울특별시 종로구 청진동 70 그랑서울 6층,02-6930-5824,피부과,서울,https://jongno.maxwellhair.com/,,https://m.place.naver.com/place/1073540490,Y
서울영재의원,서울특별시 용산구 서계동 236-16 2~3층,02-6406-8000,피부과,서울,http://www.goodoc.co.kr/hospitals/16736,,https://m.place.naver.com/place/1086659654,Y
당신만의가치 벨유의원,서울특별시 중구 명동2가 50-1 4층,,피부과,서울,http://www.valu-clinic.kr/,,https://m.place.naver.com/place/1943327665,Y
써밋의원 광화문역,서울특별시 중구 태평로1가 25-3 광화문G스퀘어 3층,,피부과,서울,https://youtube.com/@summitclinic_kr,,https://m.place.naver.com/place/1551808137,Y
서울피부과의원,서울특별시 강남구 신사동 631-25 3층 서울피부과의원,02-332-7893,피부과,서울,,,https://m.place.naver.com/place/35559761,Y
이현재피부과의원 부산서면,부산광역시 부산진구 부전동 257-3 아이온시티빌딩 6층,,피부과,부산,http://www.busanskin.co.kr/,,https://m.place.naver.com/place/1280489603,Y
미엘르의원 부산서면,부산광역시 부산진구 부전동 242-3 현경메디컬빌딩 7층,051-806-0020,피부과,부산,http://www.clinicmielle.com/,,https://m.place.naver.com/place/21560458,Y
디데이의원 부산,부산광역시 중구 남포동2가 25-10 뉴 남포빌딩 2층,051-245-3210,피부과,부산,https://dday.clinic,,https://m.place.naver.com/place/1508654704,Y
더올림의원 서면역,"부산광역시 부산진구 부전동 266-2 6층 602호, 603호",,피부과,부산,https://theolimclinic.co.kr/,,https://m.place.naver.com/place/2047238922,Y
데이뷰의원 부산서면점,부산광역시 부산진구 부전동 257-3 제15층 제1501호,,피부과,부산,https://daybeauclinic15.com,,https://m.place.naver.com/place/2002924121,Y
블리비의원 대구동성로점,대구광역시 중구 남일동 135-1 4층,1833-4563,피부과,대구,http://www.velyb.kr,,https://m.place.naver.com/place/1332172504,Y
유니티의원 대구,대구광역시 수성구 범어동 41-3 7층,,피부과,대구,http://uniqtyclinic.com/,,https://m.place.naver.com/place/1844064874,Y
더차오름의원 대구본점,"대구광역시 달서구 죽전동 273-6 1004, 1005호",,피부과,대구,https://blog.naver.com/iicn7082,,https://m.place.naver.com/place/1038982350,?
서울바른피부과의원 대구,대구광역시 수성구 범어동 177-7 6층,053-766-3399,피부과,대구,https://www.baronskin.com,,https://m.place.naver.com/place/38254013,Y
유앤아이의원 대구점,대구광역시 중구 남일동 110-1 현대빌딩 3층,053-716-6027,피부과,대구,https://www.dguni114.co.kr/,,https://m.place.naver.com/place/1546398821,Y
더차오름의원 대구본점,"대��광역시 달서구 죽전동 273-6 1004, 1005호",,피부과,대구,https://blog.naver.com/iicn7082,,https://m.place.naver.com/place/1038982350,Y
VS라인의원 인천구월점,인천광역시 남동구 구월동 1471-1 하나빌딩 4층,,피부과,인천,http://ingw.vsline.kr,,https://m.place.naver.com/place/31059087,Y
오블리브의원 송도,"인천광역시 연수구 송도동 8-2 2층, 3층",,피부과,인천,https://www.obliv.kr/,,https://m.place.naver.com/place/1120924408,Y
데이뷰의원 인천구월점,인천광역시 남동구 구월동 1469 맨하탄빌딩 6층,,피부과,인천,https://www.daybeauclinic13.com/,,https://m.place.naver.com/place/1456260812,Y
플랜유의원,인천광역시 연수구 송도동 21-28 송도더퍼스트시티 2층 210호,,피부과,인천,https://www.planuclinic.co.kr/,,https://m.place.naver.com/place/1091669936,Y
스노우의원 인천검단점,인천광역시 서구 원당동 1040-5 더원타워 5층 504호~509호,,피부과,인천,http://incheon-snow.co.kr,,https://m.place.naver.com/place/1406799358,Y
유앤아이의원 광주점,"광주광역시 서구 치평동 1254-1 엠씨타워 3층, 4층",062-716-6020,피부과,광주,https://www.gjuni114.co.kr/,,https://m.place.naver.com/place/1900027173,Y
밴스의원 광주,광주광역시 서구 농성동 418-7 퍼시스광주센터 4층 밴스의원,062-716-0650,피부과,광주,https://gwangju.vandsclinic.co.kr/?channel=4150,,https://m.place.naver.com/place/1262338827,Y
데이뷰의원 광주상무점,광주광역시 서구 치평동 1254-2 4층,,피부과,광주,https://daybeauclinic05.com/branch/,,https://m.place.naver.com/place/1768667477,Y
닥터디자이너의원 광주점,광주광역시 서구 치평동 1251 오션1빌딩 4층,0507-873-0540,피부과,광주,https://gwangju.drdclinic.co.kr/,,https://m.place.naver.com/place/1143823065,Y
리엘르의원 광주점,광주광역시 서구 치평동 1251-1 2층,062-710-5045,피부과,광주,https://gj.re-ele.com/,,https://m.place.naver.com/place/2056860861,Y
바노바기의원 대전,대전광역시 서구 둔산동 1361 강남프라자 3층 301호,042-488-1600,피부과,대전,https://www.banobagiclinic3.com/,,https://m.place.naver.com/place/12951720,Y
닥터쁘띠의원 대전,대전광역시 서구 탄방동 642 2층,042-486-1592,피부과,대전,http://pf.kakao.com/_FFyQG,,https://m.place.naver.com/place/1693999356,Y
톤즈의원 대전둔산,"대전광역시 서구 둔산동 1361 2층 203호, 204호",,피부과,대전,https://tonesclinic.co.kr/dajeond,,https://m.place.naver.com/place/1837907162,Y
데이뷰의원 대전둔산점,대전광역시 서구 둔산동 983,,피부과,대전,https://www.daybeauclinic10.com/,,,N
블리비의원 대전점,대전광역시 서구 둔산동 1032 동서빌딩 8층,1833-6343,피부과,대전,http://www.velyb.kr,,https://m.place.naver.com/place/1320390712,Y
바노바기의원 울산,울산광역시 남구 삼산동 1479-5 더블유센터 1201호,052-700-6508,피부과,울산,https://www.banobagiclinic4.com/,,https://m.place.naver.com/place/1982592778,Y
나의계절의원울산,울산광역시 남구 삼산동 1474-13 2층,052-276-5500,피부과,울산,https://myseasonclinic-ulsan.com/,,https://m.place.naver.com/place/1379235045,Y
블리비의원 울산점,울산광역시 남구 삼산동 1526-9 10층,1833-9011,피부과,울산,http://www.velyb.kr,,https://m.place.naver.com/place/1803577806,Y
화이트듀의원 울산,울산광역시 남구 삼산동 1526-6 3층,,피부과,울산,http://whitedew.kr/bbs/skin.php,,https://m.place.naver.com/place/13098560,Y
예쁨주의쁨의원 울산,"울산광역시 남구 달동 1257-7 지하1, 지상2층",,피부과,울산,https://www.ppeum35.com,,https://m.place.naver.com/place/1364615078,Y
톤즈의원 수원광교점,경기도 수원시 영통구 이의동 1348 SK VIEW B동 2층 201~209호,,피부과,수원,https://tonesclinic.co.kr/gwanggyo,,https://m.place.naver.com/place/1014072626,Y
수원그리고의원,경기도 수원시 팔달구 인계동 1125 1층 103호,031-267-0665,피부과,수원,https://www.grigoclinic.co.kr/s/fvkv1,,https://m.place.naver.com/place/1326773877,Y
셀팅의원 경기수원,경기도 수원시 팔달구 우만동 562-6 3층,1555-2144,피부과,수원,https://www.celltingsuwon.com/,,https://m.place.naver.com/place/1938839822,Y
블리비의원 수원점,경기도 수원시 팔달구 매산로2가 63-4 다성빌딩 5층,1899-9017,피부과,수원,http://www.velyb.kr,,https://m.place.naver.com/place/71643647,Y
수원망포 톤즈의원,"경기도 수원시 영통구 망포동 41-51 301호, 302호",,피부과,수원,https://www.tonesclinic.com/mangpo?lang=ko,,https://m.place.naver.com/place/1312105214,Y
오아로피부과의원 성남,경기도 성남시 수정구 신흥동 4124 신흥롯데시네마타워 2층 223호,031-749-5151,피부과,성남,http://www.oarosn.co.kr,,https://m.place.naver.com/place/1823737751,Y
분당정자 셀린의원,경기도 성남시 분당구 정자동 17-5 301호,031-1833-6372,피부과,성남,https://www.cellinclinic10.com/clinicInfoCellin/selfReserve.php,,https://m.place.naver.com/place/1159993527,Y
분당프리미어의원,경기도 성남시 분당구 수내동 18-1 2층,,피부과,성남,https://blog.naver.com/isigary,,https://m.place.naver.com/place/1095182275,Y
비타민의원 분당점,경기도 성남시 분당구 서현동 245-3 3층,,피부과,성남,http://www.vitaminclinic.kr,,https://m.place.naver.com/place/13182156,Y
데이뷰의원 분당점,"경기도 성남시 분당구 정자동 156-2 백궁프라자3 2층 206호, 207호, 211호",,피부과,성남,https://www.daybeauclinic12.com,,https://m.place.naver.com/place/1094772288,Y
톤즈의원 일산,경기도 고양시 일산동구 장항동 864 4층 톤즈의원 일산,,피부과,고양,https://tonesclinic.co.kr/ilsan,,https://m.place.naver.com/place/1053186040,Y
밴스의원 일산,"경기도 고양시 일산동구 장항동 856-3 낙원프라자 6층 601, 603호",031-994-0380,피부과,고양,https://ilsan.vandsclinic.co.kr/?channel=1687,,https://m.place.naver.com/place/1481200696,Y
리버스의원 일산,경기도 고양시 일산동구 장항동 862-1 호수빌딩 502호,,피부과,고양,https://is.reverseclinic.com,,https://m.place.naver.com/place/34508126,Y
VS라인의원 일산점,경기도 고양시 일산동구 장항동 858-1 킹타운 3층 301호,,피부과,고양,http://is.vsline.kr/,,https://m.place.naver.com/place/1245507452,Y
블리비의원 일산점,경기도 고양시 일산동구 장항동 855 이스턴시티 2층,1833-7382,피부과,고양,http://www.velyb.kr,,https://m.place.naver.com/place/1592961756,Y
톤즈의원 용인,"경기도 용인시 처인구 김량장동 254-126 8층, 9층",,피부과,용인,https://tonesclinic.co.kr/yongin,,https://m.place.naver.com/place/1597868592,Y
셀린의원 용인수지점,경기도 용인시 수지구 풍덕천동 1082-7 1층,,피부과,용인,https://blog.naver.com/5vw8mibem/223953978711,,https://m.place.naver.com/place/1646018054,Y
미올린의원 용인,경기도 용인시 기흥구 마북동 360-9 솔스퀘어 3층 303호,031-281-5005,피부과,용인,https://miollinyongin.com,,https://m.place.naver.com/place/2095060321,Y
타토아의원 용인점,경기도 용인시 기흥구 중동 830-3 2층,031-307-7500,피부과,용인,http://tatoayi.co.kr,,https://m.place.naver.com/place/1229354972,Y
밴스의원 수지,경기도 용인시 수지구 풍덕천동 1082-1 3층 301호,031-8067-5019,피부과,용인,https://suji.vandsclinic.co.kr/?channel=4135,,https://m.place.naver.com/place/2061862834,Y
셀린의원 청주점,충청북도 청주시 흥덕구 강서동 483 BYC청주사옥 3층,1833-4534,피부과,청주,https://blog.naver.com/mate_9660,,https://m.place.naver.com/place/1248787245,Y
서울뷰의원 청주,"충청북도 청주시 흥덕구 강서동 526 굿샘빌딩 10, 11층",,피부과,청주,https://cheongju.seoulview.kr/,,https://m.place.naver.com/place/1177555406,Y
리라클의원 청주,충청북도 청주시 흥덕구 강서동 477 8층 리라클의원 청주,,피부과,청주,https://reracle.com/,,https://m.place.naver.com/place/1871732686,Y
밴스의원 청주,충청북도 청주시 흥덕구 강서동 478 세솔타운 3층,043-716-0590,피부과,청주,https://cheongju.vandsclinic.co.kr/?channel=4134,,https://m.place.naver.com/place/1193440173,Y
스노우의원 청주점,"충청북도 청주시 흥덕구 복대동 288-124 B동 3층 302호, 303호",,피부과,청주,https://booking.naver.com/booking/13/bizes/571100?area=plt&map-search=1,,https://m.place.naver.com/place/1157252362,Y
스노우의원 전주점,전북특별자치도 전주시 완산구 효자동3가 1531-3 2층,,피부과,전주,http://jeonju-snow.co.kr,,https://m.place.naver.com/place/1587398084,Y
데이뷰의원 전주점,전북특별자치도 전주시 완산구 효자동2가 1239-4 SD빌딩 2층 데이뷰의원 전주점,,피부과,전주,https://daybeauclinic14.com/branch/,,https://m.place.naver.com/place/2030158240,Y
앤블랑의원,"전북특별자치도 전주시 덕진구 송천동2가 1333-1 2층 201호, 202호",063-717-7511,피부과,전주,https://anneblc.co.kr,,https://m.place.naver.com/place/1782349096,Y
블리비의원 전주점,전북특별자치도 전주시 완산구 효자동2가 1239-5 대신빌딩 3층,1833-2395,피부과,전주,http://www.velyb.kr,,https://m.place.naver.com/place/1535307747,Y
밴스의원 전주,전북특별자치도 전주시 완산구 효자동2가 1154-3 201호,063-714-2059,피부과,전주,https://jeonju.vandsclinic.co.kr/,,https://m.place.naver.com/place/2033626246,Y
유앤아이의원 천안점,충청남도 천안시 서북구 불당동 1535-1 마블러스티타워 7층 706호,041-417-6010,피부과,천안,https://www.cauni114.co.kr/,,https://m.place.naver.com/place/1945459743,Y
천안스노우의원 불당점,충청남도 천안시 서북구 불당동 1535-1 마블러스T타워 본관 403호 별관 415호,,피부과,천안,https://www.cheonan-snow.com,,https://m.place.naver.com/place/1458449645,?
유파인의원,충청남도 천안시 서북구 불당동 1536 파크뷰 2층 유파인의원,041-415-1135,피부과,천안,https://www.youtube.com/@Dr.sesama,,https://m.place.naver.com/place/1392627184,Y
이젠의원 천안,"충청남도 천안시 서북구 두정동 571 이젠빌딩 4, 5층 이젠의원",,피부과,천안,https://blog.naver.com/ezenskin7978,,https://m.place.naver.com/place/21598350,Y
블리비의원 천안점,충청남도 천안시 동남구 신부동 354-1 천안고속터미널 건물 2층,1833-7491,피부과,천안,http://velyb.kr,,https://m.place.naver.com/place/1622660194,Y
미드림의원 안산,경기도 안산시 단원구 고잔동 726-6,031-410-5700,피부과,안산,http://www.mi-dream.co.kr/,,https://m.place.naver.com/place/12892019,Y
스노우의원 안산점,경기도 안산시 단원구 고잔동 537-7 힐스테이트 에코 102동 3층 327호~338호,,피부과,안산,https://ansan-snow.co.kr/,,https://m.place.naver.com/place/1294312199,Y
블리비의원 안산점,경기도 안산시 단원구 고잔동 539-2 대동조이월드 2층,1833-6329,피부과,안산,http://www.velyb.kr,,https://m.place.naver.com/place/1333275371,Y
유앤아이의원 안산점,경기도 안산시 단원구 고잔동 537-7 힐스테이트에코 2층,031-8042-6025,피부과,안산,https://www.asuni114.co.kr/,,https://m.place.naver.com/place/1885575644,Y
미앤미의원 안산,경기도 안산시 단원구 고잔동 533-2 3층 미앤미의원 안산,031-439-0110,피부과,안산,http://as.mipretty.co.kr/,,https://m.place.naver.com/place/36538851,Y
블리비의원 제주점,제주특별자치도 제주시 노형동 1288-5 2층 201호,1833-6988,피부과,제주,http://www.velyb.kr/,,https://m.place.naver.com/place/1507212667,Y
톡스앤필의원 제주점,제주특별자치도 제주시 노형동 3788-13 청담빌딩 201호,064-711-4842,피부과,제주,http://www.toxnfill46.com/,,https://m.place.naver.com/place/1005550303,Y
아름다운피부과의원,"제주특별자치도 제주시 노형동 1296-5 명은빌딩 2, 3, 5층",,피부과,제주,https://pf.kakao.com/_eAzBG,,https://m.place.naver.com/place/13228676,Y
