업체명,업종,주소,전화번호,톡톡URL,톡톡ID,플레이스URL
다본재활의학과의원,재활의학과,서울특별시 서초구 반포동 736-6 2층,070-4027-3621,http://talk.naver.com/w4k2rt?frm=mnmb&frm=nmb_detail#nafullscreen,w4k2rt,https://m.place.naver.com/place/1523285309
입주청소,청소업체,경상북도 포항시 북구 장성동 1392-6 A122호,,http://talk.naver.com/w82xf3f?frm=mnmb&frm=nmb_detail#nafullscreen,w82xf3f,https://m.place.naver.com/place/2022292314
일산알파실용음악학원,음악학원,경기도 고양시 일산서구 주엽동 109-1 우신프라자 6층,,http://talk.naver.com/wca6w2?frm=mnmb&frm=nmb_detail#nafullscreen,wca6w2,https://m.place.naver.com/place/36476397
루덴스일산실용음악학원,음악학원,경기도 고양시 일산동구 정발산동 1176-2 2층,,http://talk.naver.com/w42kpo?frm=mnmb&frm=nmb_detail#nafullscreen,w42kpo,https://m.place.naver.com/place/1920483820
준오헤어 대학로혜화역점,헤어샵,서울특별시 종로구 혜화동 185 중원빌딩 2층 준오헤어 대학로혜화역점,,http://talk.naver.com/w4x6uu?frm=mnmb&frm=nmb_detail#nafullscreen,w4x6uu,https://m.place.naver.com/place/1808445219
파인트리 헤어살롱 서대문역점,헤어샵,서울특별시 종로구 평동 169 2층,0232101002,http://talk.naver.com/w5z44r?frm=mnmb&frm=nmb_detail#nafullscreen,w5z44r,https://m.place.naver.com/place/1443688242
라피오리레헤어 동묘앞역점,헤어샵,서울특별시 종로구 숭인동 76 롯데캐슬천지인상가 2층 6호 라피오리레헤어 동묘역점,,http://talk.naver.com/wceq8d?frm=mnmb&frm=nmb_detail#nafullscreen,wceq8d,https://m.place.naver.com/place/1718538119
가넷 골프 아카데미 구미점,골프연습장,경기도 성남시 분당구 구미동 203-2 진도훼미리프라자 4층,,http://talk.naver.com/w5waih?frm=mnmb&frm=nmb_detail#nafullscreen,w5waih,https://m.place.naver.com/place/1969527113
JLP골프클럽 분당서현점,골프연습장,경기도 성남시 분당구 서현동 216-1 JLP골프클럽,0317086037 / 0317086037,http://talk.naver.com/wta0zx0?frm=mnmb&frm=nmb_detail#nafullscreen,wta0zx0,https://m.place.naver.com/place/18479883
한샘리하우스 탑 대리점,리모델링,경기도 남양주시 다산동 4338-19 2층 한샘리하우스 탑 대리점,0315226684 / 0315226684 / 0315226684 / 0315226684,http://talk.naver.com/w43fjd?frm=mnmb&frm=nmb_detail#nafullscreen,w43fjd,https://m.place.naver.com/place/1259904406
한샘리하우스 남양주대리점,리모델링,경기도 남양주시 화도읍 창현리 503-10 오성상가 다동 103호,0315931133 / 0315931133,http://talk.naver.com/w43j26?frm=mnmb&frm=nmb_detail#nafullscreen,w43j26,https://m.place.naver.com/place/11777834
THE CONA,리모델링,서울특별시 성북구 삼선동3가 57-3 2층  3층,023885754,http://talk.naver.com/wca3jc?frm=mnmb&frm=nmb_detail#nafullscreen,wca3jc,https://m.place.naver.com/place/32417599
한샘리하우스 디자인바오대리점,리모델링,서울특별시 성북구 길음동 1285 제상가동 제지1층 233호,,http://talk.naver.com/w425e1?frm=mnmb&frm=nmb_detail#nafullscreen,w425e1,https://m.place.naver.com/place/1479778028
성수 사무실 청소,사무실청소,서울특별시 성동구 성수동1가 33-93,,http://talk.naver.com/w41ozx?frm=mnmb&frm=nmb_detail#nafullscreen,w41ozx,https://m.place.naver.com/place/1826313955
서울유비뇨의학과의원,비뇨기과,서울특별시 서대문구 충정로2가 2-2 충정빌딩 3층,0263833320 / 01028992710 / 02-6383-3325,http://talk.naver.com/w4qxg7?frm=mnmb&frm=nmb_detail#nafullscreen,w4qxg7,https://m.place.naver.com/place/1638575761
사무실청소,사무실청소,서울특별시 구로구 구로동 611-26 B1층 B36-S23호,,http://talk.naver.com/w4150l?frm=mnmb&frm=nmb_detail#nafullscreen,w4150l,https://m.place.naver.com/place/2051114738
사무실청소,사무실청소,서울특별시 구로구 구로동 212-8 1차동 1212호-B032호,,http://talk.naver.com/w4150l?frm=mnmb&frm=nmb_detail#nafullscreen,w4150l,https://m.place.naver.com/place/2051114738
피치스네일 송도점,네일샵,인천광역시 연수구 송도동 171 웨스트동 213호,0357142857,http://talk.naver.com/w48wiv?frm=mnmb&frm=nmb_detail#nafullscreen,w48wiv,https://m.place.naver.com/place/1241378115
의정부상승비뇨의학과의원,비뇨기과,경기도 의정부시 민락동 804 예스타워 2층,0318525300 / 0318525300,http://talk.naver.com/w40a2s?frm=mnmb&frm=nmb_detail#nafullscreen,w40a2s,https://m.place.naver.com/place/1713192820
네이처비뇨의학과의원 의정부,비뇨기과,경기도 의정부시 의정부동 175-10 나이키빌딩 10층 네이처비뇨의학과의원,,http://talk.naver.com/w4itnj?frm=mnmb&frm=nmb_detail#nafullscreen,w4itnj,https://m.place.naver.com/place/1864577192
이수 윤 테라피,에스테틱,서울특별시 동작구 사당동 128-46 2층 이수 윤 테라피,,http://talk.naver.com/w5ysrw?frm=mnmb&frm=nmb_detail#nafullscreen,w5ysrw,https://m.place.naver.com/place/1305990191
더하노이풋앤바디 상도점,에스테틱,서울특별시 동작구 상도동 900 상도파크자이상가 2층 203호,,http://talk.naver.com/w4bfrc?frm=mnmb&frm=nmb_detail#nafullscreen,w4bfrc,https://m.place.naver.com/place/1323481825
황순기 세무회계,세무사,부산광역시 부산진구 부전동 142-8 407호,0517143435 / 0517143435,http://talk.naver.com/w4ql50?frm=mnmb&frm=nmb_detail#nafullscreen,w4ql50,https://m.place.naver.com/place/1401449721
법무법인대륜 성남판교분사무소 기업이혼형사성범죄전문변호사,법률사무소,경기도 성남시 분당구 백현동 537 알파돔타워 15층 법무법인 대륜,,http://talk.naver.com/w45lf1?frm=mnmb&frm=nmb_detail#nafullscreen,w45lf1,https://m.place.naver.com/place/1971959915
법무법인 YK 분당 분사무소,법률사무소,경기도 성남시 분당구 서현동 249-1 상상인저축은행 8층,07071064030 / 07071064030 / 025258120 / 070-7106-4031 / 070-7106-4032 / 070-7106-4033 / 070-7106-4034,http://talk.naver.com/wzpaxj7?frm=mnmb&frm=nmb_detail#nafullscreen,wzpaxj7,https://m.place.naver.com/place/1779557622
성일스포렉스 피트니스,수영장,서울특별시 강동구 성내동 531 지하 1층~지상 2층,05255255255,http://talk.naver.com/w44rf1?frm=mnmb&frm=nmb_detail#nafullscreen,w44rf1,https://m.place.naver.com/place/1163860264
타이어프로 안산사동점,자동차검사,경기도 안산시 상록구 사동 1172-16 1층,031-407-2755,http://talk.naver.com/ws85iqf?frm=mnmb&frm=nmb_detail#nafullscreen,ws85iqf,https://m.place.naver.com/place/1966341182
연세퍼스트영어학원,영어학원,서울특별시 은평구 진관동 70 4층 405호,01039812186 / 01039812186,http://talk.naver.com/wgheijp?frm=mnmb&frm=nmb_detail#nafullscreen,wgheijp,https://m.place.naver.com/place/1818379354
매직플러스,자동차검사,서울특별시 서대문구 남가좌동 331-21 1층,,http://talk.naver.com/wvambzg?frm=mnmb&frm=nmb_detail#nafullscreen,wvambzg,https://m.place.naver.com/place/1140800544
우정모터스,자동차매매,서울특별시 구로구 가리봉동 107-30 중고자동차,,http://talk.naver.com/wyiokha?frm=mnmb&frm=nmb_detail#nafullscreen,wyiokha,https://m.place.naver.com/place/2089027795
서울모터스,자동차매매,서울특별시 구로구 구로동 111,,http://talk.naver.com/wsrpamh?frm=mnmb&frm=nmb_detail#nafullscreen,wsrpamh,https://m.place.naver.com/place/1652858669
법무법인오현 변호사 성남사무소 형사이혼전문,법률사무소,경기도 성남시 중원구 금광동 4790 3층 법무법인오현,,http://talk.naver.com/wc4byu?frm=mnmb&frm=nmb_detail#nafullscreen,wc4byu,https://m.place.naver.com/place/1137710158
올바른식단 연구소,단체급식,제주특별자치도 제주시 이호일동 1639,064-712-1639,http://talk.naver.com/wymb0n6?frm=mnmb&frm=nmb_detail#nafullscreen,wymb0n6,https://m.place.naver.com/place/1858777395
타이어스토어 성남점,타이어,경기도 성남시 수정구 시흥동 225-10 타이어스토어,,http://talk.naver.com/w8p2van?frm=mnmb&frm=nmb_detail#nafullscreen,w8p2van,https://m.place.naver.com/place/1091601252
아티스미술학원 센트럴시티점,미술학원,인천광역시 연수구 송도동 190-4 송도더샵센트럴시티단지내상가 2층,,http://talk.naver.com/w5wtqv?frm=mnmb&frm=nmb_detail#nafullscreen,w5wtqv,https://m.place.naver.com/place/1309813380
코레스큐 본점,속눈썹,대구광역시 달서구 감삼동 452-1 3층,,http://talk.naver.com/w42vo1?frm=mnmb&frm=nmb_detail#nafullscreen,w42vo1,https://m.place.naver.com/place/1971623177
라벨르,속눈썹,대구광역시 달서구 진천동 251-55 1층,,http://talk.naver.com/w4im2k?frm=mnmb&frm=nmb_detail#nafullscreen,w4im2k,https://m.place.naver.com/place/1310026172
메이뷰티 Mei beauty,속눈썹,대구광역시 달서구 감삼동 563-1 JSL건물 캔버스커피 죽전점 2층 메이뷰티,,http://talk.naver.com/w40bpv?frm=mnmb&frm=nmb_detail#nafullscreen,w40bpv,https://m.place.naver.com/place/1199666191
의정부성모치과의원,치과,경기도 의정부시 의정부동 179-4 3층  4층,,http://talk.naver.com/w408mj?frm=mnmb&frm=nmb_detail#nafullscreen,w408mj,https://m.place.naver.com/place/1291369622
의정부환한미소치과의원,치과,경기도 의정부시 의정부동 196-12 퍼시픽타워 7층 의정부환한미소치과의원,,http://talk.naver.com/wc5bfe?frm=mnmb&frm=nmb_detail#nafullscreen,wc5bfe,https://m.place.naver.com/place/1570387040
루미에치과교정과치과의원 의정부,치과,경기도 의정부시 의정부동 141-1 가동 3층,031-836-2879,http://talk.naver.com/w4fok6?frm=mnmb&frm=nmb_detail#nafullscreen,w4fok6,https://m.place.naver.com/place/1226998097
의정부본플란트치과의원,치과,경기도 의정부시 용현동 266-8 행복프라자 2층  3층,,http://talk.naver.com/w5y4fr?frm=mnmb&frm=nmb_detail#nafullscreen,w5y4fr,https://m.place.naver.com/place/1681701472
진플란트치과의원 의정부,치과,경기도 의정부시 호원동 454 욱은빌딩 3층,031-855-2828,http://talk.naver.com/w4317m?frm=mnmb&frm=nmb_detail#nafullscreen,w4317m,https://m.place.naver.com/place/1406230339
라인드로우 슈가왁싱&amp;브로우 성신여대점,왁싱,서울특별시 성북구 동소문동7가 7-2 2층,,http://talk.naver.com/w4d1eg?frm=mnmb&frm=nmb_detail#nafullscreen,w4d1eg,https://m.place.naver.com/place/1747108590
메리왁싱 보문점,왁싱,서울특별시 성북구 보문동2가 136 2층,070.8771.6918,http://talk.naver.com/w4bvq5?frm=mnmb&frm=nmb_detail#nafullscreen,w4bvq5,https://m.place.naver.com/place/1925809151
이철헤어커커 의정부센트럴점,미용실,경기도 의정부시 의정부동 378-1 진산월드메르디앙 1층 103호  104호,,http://talk.naver.com/w48ij8?frm=mnmb&frm=nmb_detail#nafullscreen,w48ij8,https://m.place.naver.com/place/1294697114
엔브이성형외과의원,성형외과,울산광역시 남구 삼산동 1525-6 JS메디컬센터 8층  9층,,http://talk.naver.com/w4fupw?frm=mnmb&frm=nmb_detail#nafullscreen,w4fupw,https://m.place.naver.com/place/1510223743
제우스성형외과의원,성형외과,울산광역시 남구 삼산동 1525-6 7층,,http://talk.naver.com/w6ewrf4?frm=mnmb&frm=nmb_detail#nafullscreen,w6ewrf4,https://m.place.naver.com/place/1868551101
총각커튼 블라인드 인천청라점,인테리어,인천광역시 서구 청라동 165-12 1층 074-에이32호,,http://talk.naver.com/w415lq?frm=mnmb&frm=nmb_detail#nafullscreen,w415lq,https://m.place.naver.com/place/1867123144
커튼더뷰 검단점,인테리어,인천광역시 서구 원당동 1035-4 204호 커튼더뷰,,http://talk.naver.com/w4q1ku?frm=mnmb&frm=nmb_detail#nafullscreen,w4q1ku,https://m.place.naver.com/place/1372178148
서울아산이비인후과의원,이비인후과,서울특별시 광진구 구의동 199-1 7층,02-6213-2000,https://talk.naver.com/profile/wtekq5p,wtekq5p,https://m.place.naver.com/place/1532639347
스카이코워커 공유오피스 인천 송도점,부동산,인천광역시 연수구 송도동 30-3 송도센트로드 A동 31층,,http://talk.naver.com/w46lro?frm=mnmb&frm=nmb_detail#nafullscreen,w46lro,https://m.place.naver.com/place/1019499738
봄날애,웨딩업체,서울특별시 금천구 시흥동 985-2 1층 109호,,http://talk.naver.com/w40x21?frm=mnmb&frm=nmb_detail#nafullscreen,w40x21,https://m.place.naver.com/place/1615357782
모두가 원하는 치과의원,치과,경기도 평택시 비전동 996 3층 301호  302호  303호,0316682875; / 0316682875,http://talk.naver.com/wdkc842?frm=mnmb&frm=nmb_detail#nafullscreen,wdkc842,https://m.place.naver.com/place/37451694
연세꿈꾸는치과교정과치과의원 평택지제점,치과,,031.618.2828,http://talk.naver.com/wnxubk1?frm=mnmb&frm=nmb_detail#nafullscreen,wnxubk1,https://m.place.naver.com/place/1414402137
프린트카페 울산대점,복사인쇄,울산광역시 남구 무거동 619-9,,http://talk.naver.com/wc6dog?frm=mnmb&frm=nmb_detail#nafullscreen,wc6dog,https://m.place.naver.com/place/1043399199
휘트니스피플 우먼 철산점,헬스장,경기도 광명시 철산동 407 5층,,http://talk.naver.com/wgyxanj?frm=mnmb&frm=nmb_detail#nafullscreen,wgyxanj,https://m.place.naver.com/place/1239968125
프라임짐 헬스 PT 광명사거리역점,헬스장,경기도 광명시 광명동 158-189 6층 1호,,http://talk.naver.com/wdcabj7?frm=mnmb&frm=nmb_detail#nafullscreen,wdcabj7,https://m.place.naver.com/place/2032025487
제이엔 인테리어,주방리모델링,경기도 파주시 야당동 1072 8층 806호,,http://talk.naver.com/wrjy831?frm=mnmb&frm=nmb_detail#nafullscreen,wrjy831,https://m.place.naver.com/place/1331375260
용인대매교태권도장,태권도,경기도 수원시 팔달구 매교동 152-2 202호,,http://talk.naver.com/w45hn7?frm=mnmb&frm=nmb_detail#nafullscreen,w45hn7,https://m.place.naver.com/place/1254904225
라온제나태권도장 본관,태권도,경기도 수원시 권선구 금곡동 1117-5 에스지프라자 6층 601 602호,,http://talk.naver.com/w4u8f2?frm=mnmb&frm=nmb_detail#nafullscreen,w4u8f2,https://m.place.naver.com/place/1003224899
서울베스트치과의원,치과,충청남도 천안시 동남구 신부동 461-6 3층 1호,,http://talk.naver.com/wc6s5e?frm=mnmb&frm=nmb_detail#nafullscreen,wc6s5e,https://m.place.naver.com/place/629854399
스마트플란트치과의원,치과,충청남도 천안시 동남구 신부동 363-12 민현빌딩 4층 스마트플란트치과의원,0415682875 / 02-550-9500,http://talk.naver.com/w5uhee?frm=mnmb&frm=nmb_detail#nafullscreen,w5uhee,https://m.place.naver.com/place/1445804238
서울정석치과의원 대전,치과,대전광역시 유성구 상대동 474-3 4층,0428232279 / 0428232279,http://talk.naver.com/w4sbws?frm=mnmb&frm=nmb_detail#nafullscreen,w4sbws,https://m.place.naver.com/place/37046164
클라리티치과의원 대전,치과,대전광역시 유성구 봉명동 1016-5 봉키병원빌딩 3층,0427197787 / 0427197787 / 042-719-2123,http://talk.naver.com/wce10s?frm=mnmb&frm=nmb_detail#nafullscreen,wce10s,https://m.place.naver.com/place/1521659098
나인포토스냅,웨딩업체,경기도 하남시 감일동 453-2 지하1층,,http://talk.naver.com/wc4y5x?frm=mnmb&frm=nmb_detail#nafullscreen,wc4y5x,https://m.place.naver.com/place/462418883
페인스톰아차산,크로스핏,서울특별시 광진구 구의동 71-5 지하1층,,http://talk.naver.com/we8ewh7?frm=mnmb&frm=nmb_detail#nafullscreen,we8ewh7,https://m.place.naver.com/place/1027120174
e편한이사 부평점,이삿짐센터,인천광역시 부평구 산곡동 287-24 2동 503호,,http://talk.naver.com/wcs7yb?frm=mnmb&frm=nmb_detail#nafullscreen,wcs7yb,https://m.place.naver.com/place/1517882357
이사고,이삿짐센터,인천광역시 부평구 부평동 417-3,0808082490,http://talk.naver.com/wca52n?frm=mnmb&frm=nmb_detail#nafullscreen,wca52n,https://m.place.naver.com/place/38468064
조이앤플레이음악학원 창동점,음악학원,서울특별시 도봉구 창동 635-42 건영캐스빌 상가 206호,,http://talk.naver.com/w4ns2h?frm=mnmb&frm=nmb_detail#nafullscreen,w4ns2h,https://m.place.naver.com/place/69498817
천안붐붐스튜디오사진관,스튜디오,충청남도 천안시 서북구 성정동 1251 2층 천안붐붐스튜디오사진관,,http://talk.naver.com/w42a83?frm=mnmb&frm=nmb_detail#nafullscreen,w42a83,https://m.place.naver.com/place/11819488
특수청소,청소업체,경기도 고양시 일산동구 중산동 1579-1 5층 504-54호,,http://talk.naver.com/w40ztd?frm=mnmb&frm=nmb_detail#nafullscreen,w40ztd,https://m.place.naver.com/place/1238513204
노형동 사진관 &amp; 셀프스튜디오,사진관,제주특별자치도 제주시 노형동 3806-3 101 102호,,http://talk.naver.com/wr2fyh5?frm=pnmb&frm=nmb_detail#nafullscreen,wr2fyh5,https://m.place.naver.com/place/1079162646
포토이즘스튜디오 제주점,사진관,제주특별자치도 제주시 이도이동 1765-1 2층,,http://talk.naver.com/w5ufil?frm=mnmb&frm=nmb_detail#nafullscreen,w5ufil,https://m.place.naver.com/place/1792934168
스튜디오 필로블루 셀프사진관,사진관,제주특별자치도 제주시 연동 301-12 2층,01021432567 / 01021432567,http://talk.naver.com/w0s134p?frm=mnmb&frm=nmb_detail#nafullscreen,w0s134p,https://m.place.naver.com/place/1353970986
커튼과블라인드 의정부점,인테리어업체,경기도 의정부시 장암동 20,,http://talk.naver.com/w5zleo?frm=mnmb&frm=nmb_detail#nafullscreen,w5zleo,https://m.place.naver.com/place/1399108088
라이콘왁싱 전주 딥뷰티 신시가지점,왁싱,전북특별자치도 전주시 완산구 효자동3가 1535-3 6층 602  604호 딥뷰티,,http://talk.naver.com/w5z5cv?frm=mnmb&frm=nmb_detail#nafullscreen,w5z5cv,https://m.place.naver.com/place/1118088357
무브짐24시헬스PT 돌곶이점,헬스장,서울특별시 성북구 석관동 349-1 장위뉴타워 15층 1501~1503호,,http://talk.naver.com/w451n5?frm=mnmb&frm=nmb_detail#nafullscreen,w451n5,https://m.place.naver.com/place/192586642
동방씽크,주방리모델링,서울특별시 금천구 시흥동 800-18 동방씽크,,http://talk.naver.com/wtx9lpe?frm=mnmb&frm=nmb_detail#nafullscreen,wtx9lpe,https://m.place.naver.com/place/1342095847
마인드호텔,호텔,서울특별시 금천구 가산동 141-1,02-839-1220 / 02-839-1222,http://talk.naver.com/w5t0ol?frm=mnmb&frm=nmb_detail#nafullscreen,w5t0ol,https://m.place.naver.com/place/19810121
세무법인 송정택스 노원지점,세무사,서울특별시 도봉구 창동 16 205호,,http://talk.naver.com/w5vbyd?frm=mnmb&frm=nmb_detail#nafullscreen,w5vbyd,https://m.place.naver.com/place/212036389
육도락 아주대 본점,도시락,경기도 수원시 영통구 원천동 71-12 1층,,http://talk.naver.com/w5ct71k?frm=mnmb&frm=nmb_detail#nafullscreen,w5ct71k,https://m.place.naver.com/place/1233268458
상록탑정형외과의원,정형외과,경기도 안산시 상록구 본오동 873-4 현대프라자 5층 501호 502  503호,,http://talk.naver.com/w5u0x4?frm=mnmb&frm=nmb_detail#nafullscreen,w5u0x4,https://m.place.naver.com/place/1752102008
봄날정형외과의원 수성,정형외과,대구광역시 수성구 중동 99-1 2층,,http://talk.naver.com/wg3pjb8?frm=mnmb&frm=nmb_detail#nafullscreen,wg3pjb8,https://m.place.naver.com/place/1960885813
삼성글로벌정형외과의원,정형외과,대구광역시 수성구 수성동2가 64-1 4층  5층 6층 13층,01081132238 / 0537529200 / 0527529200,http://talk.naver.com/w5yktp?frm=mnmb&frm=nmb_detail#nafullscreen,w5yktp,https://m.place.naver.com/place/1496045476
토익트레이너어학원,영어학원,울산광역시 남구 무거동 618-9 4층 토익트레이너어학원,0522251452,http://talk.naver.com/wc53g0?frm=mnmb&frm=nmb_detail#nafullscreen,wc53g0,https://m.place.naver.com/place/961844157
황재훈비뇨기과의원,비뇨기과,서울특별시 용산구 원효로2가 84-10 3층,02-703-6300,http://talk.naver.com/wvzeuy6?frm=mnmb&frm=nmb_detail#nafullscreen,wvzeuy6,https://m.place.naver.com/place/20526638
맨스톤비뇨의학과의원 용산점,비뇨기과,서울특별시 용산구 한강로2가 420 3층 304-1호  2호,0269495225,http://talk.naver.com/w4ysle?frm=mnmb&frm=nmb_detail#nafullscreen,w4ysle,https://m.place.naver.com/place/1340256614
즐겁게 일하는 노무사,노무사,부산광역시 해운대구 우동 1405 1610호,,http://talk.naver.com/wvuhgrv?frm=mnmb&frm=nmb_detail#nafullscreen,wvuhgrv,https://m.place.naver.com/place/1293933275
노무법인 공존,노무사,부산광역시 해운대구 중동 1774-5 309호,,http://talk.naver.com/w4nevn?frm=mnmb&frm=nmb_detail#nafullscreen,w4nevn,https://m.place.naver.com/place/1157855784
단아왁싱앤래쉬,속눈썹,서울특별시 성동구 상왕십리동 811 텐즈힐몰상가 2번게이트 1층 213호 단아,,http://talk.naver.com/w4szd3?frm=mnmb&frm=nmb_detail#nafullscreen,w4szd3,https://m.place.naver.com/place/1382211788
세종인테리어,리모델링,서울특별시 강동구 천호동 98-9 1층,,http://talk.naver.com/w5vuvh?frm=mnmb&frm=nmb_detail#nafullscreen,w5vuvh,https://m.place.naver.com/place/37207606
두랩스 노원월계점,두피관리,서울특별시 노원구 월계동 929 상가동 212호,,http://talk.naver.com/wiu36au?frm=mnmb&frm=nmb_detail#nafullscreen,wiu36au,https://m.place.naver.com/place/2019419621
웰킨두피탈모센터 노원점,두피관리,서울특별시 노원구 상계동 724-1 길빌딩 602호,02-337-2663,http://talk.naver.com/wyoaybb?frm=mnmb&frm=nmb_detail#nafullscreen,wyoaybb,https://m.place.naver.com/place/12973672
아이비뮤직아카데미 부산대 캠퍼스,음악학원,부산광역시 금정구 장전동 415-13 4층  아이비뮤직아카데미 부산대 캠퍼스,,http://talk.naver.com/wnqgyx7?frm=mnmb&frm=nmb_detail#nafullscreen,wnqgyx7,https://m.place.naver.com/place/11838031
파라도어실용음악학원,음악학원,부산광역시 동래구 온천동 1442-8 7층,,http://talk.naver.com/w5iq7e?frm=mnmb&frm=nmb_detail#nafullscreen,w5iq7e,https://m.place.naver.com/place/1164499082
플렉스 뮤직 알파 실용음악학원,음악학원,부산광역시 부산진구 부전동 198-6 4층 플렉스 알파 실용음악학원,05255255255,http://talk.naver.com/w4o6ec?frm=mnmb&frm=nmb_detail#nafullscreen,w4o6ec,https://m.place.naver.com/place/1127429612
DB뮤직아카데미 부산동래실용음악학원,음악학원,부산광역시 동래구 명륜동 529-3 2층,051-552-5444 / 055-311-5444,http://talk.naver.com/wc06xd?frm=mnmb&frm=nmb_detail#nafullscreen,wc06xd,https://m.place.naver.com/place/11616093
블루비뇨의학과의원 하남미사점,비뇨기과,경기도 하남시 망월동 1125 미사역 파라곤스퀘어 3층,,http://talk.naver.com/wc5h0l?frm=mnmb&frm=nmb_detail#nafullscreen,wc5h0l,https://m.place.naver.com/place/1860823360
민병철스피킹웍스 목동,토익학원,서울특별시 양천구 목동 406-271 소망상가 4F,02-2652-0303,http://talk.naver.com/wc2fr3?frm=mnmb&frm=nmb_detail#nafullscreen,wc2fr3,https://m.place.naver.com/place/11638159
모바이오 부천점,탈모클리닉,경기도 부천시 원미구 상동 539-1 뉴코아 6층 19  20호,820324327020 / 820328341185 / 820328341185 / 0324327020 / 032-834-1185,http://talk.naver.com/w5yxoq?frm=mnmb&frm=nmb_detail#nafullscreen,w5yxoq,https://m.place.naver.com/place/1227823133
더그린한의원,탈모클리닉,경기도 부천시 원미구 중동 1141-5 다운타운빌딩 7층 더그린한의원,0323211030 / 1304645382 / 0245456510,http://talk.naver.com/wc1yc2?frm=mnmb&frm=nmb_detail#nafullscreen,wc1yc2,https://m.place.naver.com/place/35201842
